 obs,T9,T12,T15,Ne9,Ne12,Ne15,Vx9,Vx12,Vx15,maxO3v,vent,pluie,maxO3
601,"15,6","18,5","18,4",4,4,8,"0,6946","-1,7101","-0,6946",84.0,Nord,Sec,87
602,17,"18,4","17,7",5,5,7,"-4,3301",-4,-3,87.0,Nord,Sec,82
603,"15,3","17,6","19,5",2,5,4,"2,9544","1,8794","0,5209",82.0,Est,Sec,92
604,"16,2","19,7","22,5",1,1,0,"0,9848","0,3473","-0,1736",92.0,Nord,Sec,114
605,"17,4","20,5","20,4",8,8,7,"-0,5","-2,9544","-4,3301",114.0,Ouest,Sec,94
606,"17,7","19,8","18,3",6,6,7,"-5,6382",-5,-6,94.0,Ouest,Pluie,80
607,"16,8","15,6","14,9",7,8,8,"-4,3301","-1,8794","-3,7588",80.0,Ouest,Sec,79
610,"14,9","17,5","18,9",5,5,4,0,"-1,0419","-1,3892",99.0,Nord,Sec,79
611,"16,1","19,6","21,4",2,4,4,"-0,766","-1,0261","-2,2981",79.0,Nord,Sec,101
612,"18,3","21,9","22,9",5,6,8,"1,2856","-2,2981","-3,9392",101.0,Ouest,Sec,106
613,"17,3","19,3","20,2",7,7,3,"-1,5","-1,5","-0,8682",106.0,Nord,Sec,101
614,"17,6","20,3","17,4",7,6,8,"0,6946","-1,0419","-0,6946",101.0,Sud,Sec,90
615,"18,3","19,6","19,4",7,5,6,"-0,8682","-2,7362","-6,8944",90.0,Sud,Sec,72
616,"17,1","18,2",18,7,7,7,"-4,3301","-7,8785","-5,1962",72.0,Ouest,Pluie,70
617,"15,4","17,4","16,6",8,7,7,"-4,3301","-2,0521",-3,70.0,Nord,Sec,83
618,"15,9","19,1","21,5",6,5,4,"0,5209","-2,9544","-1,0261",83.0,Ouest,Sec,88
620,21,"24,6","26,9",0,1,1,"-0,342","-1,5321","-0,684",121.0,Ouest,Sec,145
621,"16,2","22,4","23,4",8,3,1,0,"0,3473","-2,5712",145.0,Nord,Sec,81
622,"19,7","24,2","26,9",2,1,0,"1,5321","1,7321",2,81.0,Est,Sec,121
623,"23,6","28,6","28,4",1,1,2,1,"-1,9284","-1,2155",121.0,Sud,Sec,146
624,"20,4","25,2","27,7",1,0,0,0,"-0,5209","1,0261",146.0,Nord,Sec,121
625,27,"32,7","33,7",0,0,0,"2,9544","6,5778","4,3301",121.0,Est,Sec,146
626,24,"23,5","25,1",4,4,0,"-2,5712","-3,8567","-4,6985",146.0,Sud,Sec,108
627,"19,7","22,9","24,8",7,6,6,"-2,5981","-3,9392","-4,924",108.0,Ouest,Sec,83
