dataset,model,rmse,r2,n_features_used
auto-mpg,RF,2.238976,0.906763,500
auto-mpg,RF_sqrtp,3.793609,0.732334,500
auto-mpg,RF_logp,4.050562,0.694846,subset
auto-mpg,ET,2.294354,0.902094,500
auto-mpg,Boosting,2.296638,0.901899,500
auto-mpg,Lasso,6.075065,0.313579,subset
auto-mpg,RLT,3.577861,0.761913,subset
concrete_data,RF,7.926663,0.75616,500
concrete_data,RF_sqrtp,11.950491,0.445762,500
concrete_data,RF_logp,13.0371,0.340391,subset
concrete_data,ET,6.65397,0.828175,500
concrete_data,Boosting,6.564995,0.83274,500
concrete_data,Lasso,16.976254,-0.118429,subset
concrete_data,RLT,12.753511,0.368775,subset
HousingData,RF,3.989563,0.782957,500
HousingData,RF_sqrtp,5.257075,0.623136,500
HousingData,RF_logp,6.207774,0.474506,subset
HousingData,ET,3.86173,0.796643,500
HousingData,Boosting,3.579737,0.825258,500
HousingData,Lasso,9.422314,-0.210629,subset
HousingData,RLT,5.644724,0.565508,subset
ozone,RF,17.15894,0.636494,500
ozone,RF_sqrtp,18.911846,0.558431,500
ozone,RF_logp,20.342412,0.4891,subset
ozone,ET,17.563256,0.619161,500
ozone,Boosting,15.834052,0.690461,500
ozone,Lasso,10.345808,0.867852,subset
ozone,RLT,19.032426,0.552782,subset
winequality-red,RF,0.633961,0.385,500
winequality-red,RF_sqrtp,0.674163,0.304527,500
winequality-red,RF_logp,0.692577,0.266017,subset
winequality-red,ET,0.627019,0.398394,500
winequality-red,Boosting,0.624788,0.402668,500
winequality-red,Lasso,0.658356,0.336758,subset
winequality-red,RLT,0.695948,0.258854,subset
winequality-white,RF,0.719293,0.331955,500
winequality-white,RF_sqrtp,0.767772,0.238872,500
winequality-white,RF_logp,0.788622,0.19697,subset
winequality-white,ET,0.708457,0.351932,500
winequality-white,Boosting,0.714825,0.340229,500
winequality-white,Lasso,0.771329,0.231803,subset
winequality-white,RLT,0.849919,0.067285,subset
scenario1_p1000,RF,0.450661,0.179414,1000
scenario1_p1000,RF_sqrtp,0.490342,0.028545,1000
scenario1_p1000,RF_logp,0.488487,0.035879,subset
scenario1_p1000,ET,0.441673,0.211818,1000
scenario1_p1000,Boosting,0.493126,0.01748,1000
scenario1_p1000,Lasso,0.461715,0.138664,subset
