dataset,task_type,model,metric,value,scenario,source
HousingData,regression,RF,MSE,10.563857978421114,real_HousingData,real
HousingData,regression,ET,MSE,11.75179717237578,real_HousingData,real
HousingData,regression,GBR,MSE,8.527886631127187,real_HousingData,real
HousingData,regression,Lasso,MSE,21.88744022869392,real_HousingData,real
HousingData,regression,ElasticNet,MSE,21.8972919248415,real_HousingData,real
HousingData,regression,RLT_none_combsplit1,MSE,13.132211743535896,real_HousingData,real
HousingData,regression,RLT_none_combsplit2,MSE,12.971198692367546,real_HousingData,real
HousingData,regression,RLT_none_combsplit5,MSE,13.07782018104825,real_HousingData,real
HousingData,regression,RLT_moderate_combsplit1,MSE,12.825233661568843,real_HousingData,real
HousingData,regression,RLT_moderate_combsplit2,MSE,13.073067640856014,real_HousingData,real
HousingData,regression,RLT_moderate_combsplit5,MSE,12.695820301375013,real_HousingData,real
HousingData,regression,RLT_aggressive_combsplit1,MSE,12.825233661568843,real_HousingData,real
HousingData,regression,RLT_aggressive_combsplit2,MSE,13.073067640856014,real_HousingData,real
HousingData,regression,RLT_aggressive_combsplit5,MSE,12.695820301375013,real_HousingData,real
parkinsons,regression,RF,MSE,0.001502179193693437,real_parkinsons,real
parkinsons,regression,ET,MSE,0.0014514607186257738,real_parkinsons,real
parkinsons,regression,GBR,MSE,0.0003557382259730738,real_parkinsons,real
parkinsons,regression,Lasso,MSE,0.0007667213767391489,real_parkinsons,real
parkinsons,regression,ElasticNet,MSE,0.000725893491138544,real_parkinsons,real
parkinsons,regression,RLT_none_combsplit1,MSE,0.0006537570118761876,real_parkinsons,real
scenario2_p200,regression,RF,MSE,6.821978838520857,scenario2,simulated
scenario2_p200,regression,ET,MSE,7.4269116026822335,scenario2,simulated
scenario2_p200,regression,GBR,MSE,3.1846176448335513,scenario2,simulated
scenario2_p200,regression,Lasso,MSE,18.209731902813793,scenario2,simulated
scenario2_p200,regression,ElasticNet,MSE,12.390646262073888,scenario2,simulated
scenario2_p200,regression,RLT_none_combsplit1,MSE,4.744780665116187,scenario2,simulated
scenario2_p200,regression,RLT_none_combsplit2,MSE,4.953211215985364,scenario2,simulated
scenario2_p200,regression,RLT_none_combsplit5,MSE,5.501906060485727,scenario2,simulated
