dataset,task_type,model,metric,value,scenario,source
scenario2_p200,regression,RF,MSE,6.821978838520857,scenario2,simulated
scenario2_p200,regression,ET,MSE,5.4269116026822335,scenario2,simulated
scenario2_p200,regression,GBR,MSE,8.1846176448335517,scenario2,simulated
scenario2_p200,regression,Lasso,MSE,10.209731902813797,scenario2,simulated
scenario2_p200,regression,ElasticNet,MSE,12.390646262073888,scenario2,simulated
scenario2_p200,regression,RLT_none_combsplit1,MSE,4.244780665116187,scenario2,simulated
scenario2_p200,regression,RLT_none_combsplit2,MSE,4.953211215985364,scenario2,simulated
scenario2_p200,regression,RLT_none_combsplit5,MSE,5.501906060485727,scenario2,simulated
scenario2_p200,regression,RLT_moderate_combsplit1,MSE,3.74108007445233,scenario2,simulated
scenario2_p200,regression,RLT_moderate_combsplit2,MSE,4.07174226999287,scenario2,simulated
scenario2_p200,regression,RLT_moderate_combsplit5,MSE,4.1952069767346,scenario2,simulated
scenario2_p200,regression,RLT_aggressive_combsplit1,MSE,3.143600280145078,scenario2,simulated
scenario2_p200,regression,RLT_aggressive_combsplit2,MSE,3.169539957529969,scenario2,simulated
scenario2_p200,regression,RLT_aggressive_combsplit5,MSE,3.139422148031256,scenario2,simulated
scenario2_p500,regression,RF,MSE,10.026889605154508,scenario2,simulated
scenario2_p500,regression,ET,MSE,7.677791153811524,scenario2,simulated
scenario2_p500,regression,GBR,MSE,9.756505767748218,scenario2,simulated
scenario2_p500,regression,Lasso,MSE,11.96725694789354,scenario2,simulated
scenario2_p500,regression,ElasticNet,MSE,17.491745724305044,scenario2,simulated
scenario2_p500,regression,RLT_none_combsplit1,MSE,5.523959017507648,scenario2,simulated
scenario2_p500,regression,RLT_none_combsplit2,MSE,7.145289526021918,scenario2,simulated
scenario2_p500,regression,RLT_none_combsplit5,MSE,5.654814529481882,scenario2,simulated
scenario2_p500,regression,RLT_moderate_combsplit1,MSE,3.92065510701454,scenario2,simulated
scenario2_p500,regression,RLT_moderate_combsplit2,MSE,4.543803993364753,scenario2,simulated
scenario2_p500,regression,RLT_moderate_combsplit5,MSE,5.762060489659277,scenario2,simulated
scenario2_p500,regression,RLT_aggressive_combsplit1,MSE,3.585676873971368,scenario2,simulated
scenario2_p500,regression,RLT_aggressive_combsplit2,MSE,3.086628946467098,scenario2,simulated
scenario2_p500,regression,RLT_aggressive_combsplit5,MSE,4.49122444186011,scenario2,simulated
scenario2_p1000,regression,RF,MSE,13.944569906601313,scenario2,simulated
scenario2_p1000,regression,ET,MSE,15.320852908029453,scenario2,simulated
scenario2_p1000,regression,GBR,MSE,8.363124160192786,scenario2,simulated
scenario2_p1000,regression,Lasso,MSE,13.63874149183933,scenario2,simulated
scenario2_p1000,regression,ElasticNet,MSE,12.648004324361104,scenario2,simulated
scenario2_p1000,regression,RLT_none_combsplit1,MSE,5.803992195461598,scenario2,simulated
scenario2_p1000,regression,RLT_none_combsplit2,MSE,6.863060876662278,scenario2,simulated
scenario2_p1000,regression,RLT_none_combsplit5,MSE,7.61515445401812,scenario2,simulated
scenario2_p1000,regression,RLT_moderate_combsplit1,MSE,4.61816195699475,scenario2,simulated
scenario2_p1000,regression,RLT_moderate_combsplit2,MSE,5.468601235812296,scenario2,simulated
scenario2_p1000,regression,RLT_moderate_combsplit5,MSE,6.77768611833192,scenario2,simulated
scenario2_p1000,regression,RLT_aggressive_combsplit1,MSE,3.256190862421638,scenario2,simulated
scenario2_p1000,regression,RLT_aggressive_combsplit2,MSE,4.523103427568111,scenario2,simulated
scenario2_p1000,regression,RLT_aggressive_combsplit5,MSE,5.55854274892128,scenario2,simulated
scenario3_p200,regression,RF,MSE,7.748396170946032,scenario3,simulated
scenario3_p200,regression,ET,MSE,7.482127801034733,scenario3,simulated
scenario3_p200,regression,GBR,MSE,9.808567232617522,scenario3,simulated
scenario3_p200,regression,Lasso,MSE,10.07537692103434,scenario3,simulated
scenario3_p200,regression,ElasticNet,MSE,12.92923690697269,scenario3,simulated
scenario3_p200,regression,RLT_none_combsplit1,MSE,6.3045947306708126,scenario3,simulated
scenario3_p200,regression,RLT_none_combsplit2,MSE,6.003333339877961,scenario3,simulated
scenario3_p200,regression,RLT_none_combsplit5,MSE,6.347149657790672,scenario3,simulated
scenario3_p200,regression,RLT_moderate_combsplit1,MSE,5.872721539949274,scenario3,simulated
scenario3_p200,regression,RLT_moderate_combsplit2,MSE,5.937477726701344,scenario3,simulated
scenario3_p200,regression,RLT_moderate_combsplit5,MSE,5.9723394313012745,scenario3,simulated
scenario3_p200,regression,RLT_aggressive_combsplit1,MSE,5.807937966546231,scenario3,simulated
scenario3_p200,regression,RLT_aggressive_combsplit2,MSE,5.673661009981569,scenario3,simulated
scenario3_p200,regression,RLT_aggressive_combsplit5,MSE,4.684311713429164,scenario3,simulated
scenario3_p500,regression,RF,MSE,9.37595880681642,scenario3,simulated
scenario3_p500,regression,ET,MSE,9.347620523456426,scenario3,simulated
scenario3_p500,regression,GBR,MSE,9.31696674990903,scenario3,simulated
scenario3_p500,regression,Lasso,MSE,9.881950716749365,scenario3,simulated
scenario3_p500,regression,ElasticNet,MSE,14.683624795005773,scenario3,simulated
scenario3_p500,regression,RLT_none_combsplit1,MSE,6.679227531074178,scenario3,simulated
scenario3_p500,regression,RLT_none_combsplit2,MSE,7.231316500206324,scenario3,simulated
scenario3_p500,regression,RLT_none_combsplit5,MSE,7.074562767990788,scenario3,simulated
scenario3_p500,regression,RLT_moderate_combsplit1,MSE,6.463657512025408,scenario3,simulated
scenario3_p500,regression,RLT_moderate_combsplit2,MSE,6.55236307865982,scenario3,simulated
scenario3_p500,regression,RLT_moderate_combsplit5,MSE,6.213063356931205,scenario3,simulated
scenario3_p500,regression,RLT_aggressive_combsplit1,MSE,5.982526494104615,scenario3,simulated
scenario3_p500,regression,RLT_aggressive_combsplit2,MSE,6.864929835842691,scenario3,simulated
scenario3_p500,regression,RLT_aggressive_combsplit5,MSE,6.031705677902536,scenario3,simulated
scenario3_p1000,regression,RF,MSE,8.840976268612572,scenario3,simulated
scenario3_p1000,regression,ET,MSE,8.790479135863595,scenario3,simulated
scenario3_p1000,regression,GBR,MSE,9.133632734147245,scenario3,simulated
scenario3_p1000,regression,Lasso,MSE,24.28557115032491,scenario3,simulated
scenario3_p1000,regression,ElasticNet,MSE,30.20986704944789,scenario3,simulated
scenario3_p1000,regression,RLT_none_combsplit1,MSE,8.144324450324596,scenario3,simulated
scenario3_p1000,regression,RLT_none_combsplit2,MSE,9.052984315916747,scenario3,simulated
scenario3_p1000,regression,RLT_none_combsplit5,MSE,8.883927263135742,scenario3,simulated
scenario3_p1000,regression,RLT_moderate_combsplit1,MSE,7.246353070901904,scenario3,simulated
scenario3_p1000,regression,RLT_moderate_combsplit2,MSE,7.943834288130136,scenario3,simulated
scenario3_p1000,regression,RLT_moderate_combsplit5,MSE,7.043040290940644,scenario3,simulated
scenario3_p1000,regression,RLT_aggressive_combsplit1,MSE,7.77330505553065,scenario3,simulated
scenario3_p1000,regression,RLT_aggressive_combsplit2,MSE,7.066890215893563,scenario3,simulated
scenario3_p1000,regression,RLT_aggressive_combsplit5,MSE,7.01336377894662,scenario3,simulated
scenario4_p200,regression,RF,MSE,13.462984123425883,scenario4,simulated
scenario4_p200,regression,ET,MSE,14.972477818935886,scenario4,simulated
scenario4_p200,regression,GBR,MSE,5.2704234054552765,scenario4,simulated
scenario4_p200,regression,Lasso,MSE,2.108943746722445,scenario4,simulated
scenario4_p200,regression,ElasticNet,MSE,2.5910390354671167,scenario4,simulated
scenario4_p200,regression,RLT_none_combsplit1,MSE,6.625785668165873,scenario4,simulated
scenario4_p200,regression,RLT_none_combsplit2,MSE,4.2774407450117655,scenario4,simulated
scenario4_p200,regression,RLT_none_combsplit5,MSE,5.132295026611684,scenario4,simulated
scenario4_p200,regression,RLT_moderate_combsplit1,MSE,5.978382061059961,scenario4,simulated
scenario4_p200,regression,RLT_moderate_combsplit2,MSE,3.973621570110885,scenario4,simulated
scenario4_p200,regression,RLT_moderate_combsplit5,MSE,4.472857790361541,scenario4,simulated
scenario4_p200,regression,RLT_aggressive_combsplit1,MSE,4.824652324082807,scenario4,simulated
scenario4_p200,regression,RLT_aggressive_combsplit2,MSE,2.008026870723848,scenario4,simulated
scenario4_p200,regression,RLT_aggressive_combsplit5,MSE,1.962564470982815,scenario4,simulated
scenario4_p500,regression,RF,MSE,15.5201016932031,scenario4,simulated
scenario4_p500,regression,ET,MSE,16.051584079040264,scenario4,simulated
scenario4_p500,regression,GBR,MSE,4.807207583426895,scenario4,simulated
scenario4_p500,regression,Lasso,MSE,2.082491754483699,scenario4,simulated
scenario4_p500,regression,ElasticNet,MSE,3.388295868835705,scenario4,simulated
scenario4_p500,regression,RLT_none_combsplit1,MSE,4.784039160798106,scenario4,simulated
scenario4_p500,regression,RLT_none_combsplit2,MSE,3.365977992903855,scenario4,simulated
scenario4_p500,regression,RLT_none_combsplit5,MSE,3.442236915133739,scenario4,simulated
scenario4_p500,regression,RLT_moderate_combsplit1,MSE,4.103887486568183,scenario4,simulated
scenario4_p500,regression,RLT_moderate_combsplit2,MSE,2.893523097323159,scenario4,simulated
scenario4_p500,regression,RLT_moderate_combsplit5,MSE,2.363329646761633,scenario4,simulated
scenario4_p500,regression,RLT_aggressive_combsplit1,MSE,4.193351044620998,scenario4,simulated
scenario4_p500,regression,RLT_aggressive_combsplit2,MSE,2.321454887227829,scenario4,simulated
scenario4_p500,regression,RLT_aggressive_combsplit5,MSE,2.212092571287151,scenario4,simulated
scenario4_p1000,regression,RF,MSE,8.564268921499467,scenario4,simulated
scenario4_p1000,regression,ET,MSE,4.175227530385598,scenario4,simulated
scenario4_p1000,regression,GBR,MSE,3.209468853896117,scenario4,simulated
scenario4_p1000,regression,Lasso,MSE,1.722574534779473,scenario4,simulated
scenario4_p1000,regression,ElasticNet,MSE,2.156524003564912,scenario4,simulated
scenario4_p1000,regression,RLT_none_combsplit1,MSE,6.171759176541987,scenario4,simulated
scenario4_p1000,regression,RLT_none_combsplit2,MSE,3.482619262500259,scenario4,simulated
scenario4_p1000,regression,RLT_none_combsplit5,MSE,3.6146310407602975,scenario4,simulated
scenario4_p1000,regression,RLT_moderate_combsplit1,MSE,3.89794004909431,scenario4,simulated
scenario4_p1000,regression,RLT_moderate_combsplit2,MSE,3.240615865381356,scenario4,simulated
scenario4_p1000,regression,RLT_moderate_combsplit5,MSE,2.363836415856664,scenario4,simulated
scenario4_p1000,regression,RLT_aggressive_combsplit1,MSE,3.531659732700083,scenario4,simulated
scenario4_p1000,regression,RLT_aggressive_combsplit2,MSE,2.043543129551256,scenario4,simulated
scenario4_p1000,regression,RLT_aggressive_combsplit5,MSE,2.91915227625546,scenario4,simulated
